datetimeLocal,o3 (ppm),pm2.5 (µg/m³)
2023-04-22T07:00:00+06:00,,44.0
2023-04-23T08:00:00+06:00,,77.0
2023-04-23T09:00:00+06:00,,67.0
2023-04-23T10:00:00+06:00,,66.0
2023-04-23T11:00:00+06:00,,39.0
2023-04-23T12:00:00+06:00,,-999.0
2023-04-23T13:00:00+06:00,,37.0
2023-04-23T14:00:00+06:00,,42.0
2023-04-23T15:00:00+06:00,,49.0
2023-04-23T16:00:00+06:00,,-999.0
2023-04-23T17:00:00+06:00,,42.0
2023-04-23T18:00:00+06:00,,27.0
2023-04-23T19:00:00+06:00,,27.0
2023-04-23T20:00:00+06:00,,29.0
2023-04-23T21:00:00+06:00,,35.0
2023-04-23T22:00:00+06:00,,47.0
2023-04-23T23:00:00+06:00,,38.0
2023-04-24T00:00:00+06:00,,36.0
2023-04-24T01:00:00+06:00,,41.0
2023-04-24T02:00:00+06:00,,48.0
2023-04-24T03:00:00+06:00,,41.0
2023-04-24T04:00:00+06:00,,38.0
2023-04-24T05:00:00+06:00,,35.0
2023-04-24T06:00:00+06:00,,26.0
2023-04-24T07:00:00+06:00,,31.0
2023-04-24T08:00:00+06:00,,47.0
2023-04-24T09:00:00+06:00,,49.0
2023-04-24T10:00:00+06:00,,47.0
2023-04-24T11:00:00+06:00,,38.0
2023-04-24T12:00:00+06:00,,38.0
2023-04-24T13:00:00+06:00,,27.0
2023-04-24T14:00:00+06:00,,31.0
2023-04-24T15:00:00+06:00,,28.0
2023-04-24T16:00:00+06:00,,34.0
2023-04-24T17:00:00+06:00,,56.0
2023-04-24T18:00:00+06:00,,41.0
2023-04-24T19:00:00+06:00,,62.0
2023-04-24T20:00:00+06:00,,53.0
2023-04-24T21:00:00+06:00,,47.0
2023-04-24T22:00:00+06:00,,56.0
2023-04-24T23:00:00+06:00,,64.0
2023-04-25T00:00:00+06:00,,60.0
2023-04-26T08:00:00+06:00,,-999.0
2023-04-26T09:00:00+06:00,,-999.0
2023-04-26T10:00:00+06:00,,-999.0
2023-04-26T11:00:00+06:00,,-999.0
2023-04-26T12:00:00+06:00,,-999.0
2023-04-26T13:00:00+06:00,,-999.0
2023-04-26T14:00:00+06:00,,-999.0
2023-04-26T15:00:00+06:00,,-999.0
2023-04-26T16:00:00+06:00,,-999.0
2023-04-26T17:00:00+06:00,,-999.0
2023-04-26T18:00:00+06:00,,-999.0
2023-04-26T19:00:00+06:00,,-999.0
2023-04-26T20:00:00+06:00,,-999.0
2023-04-26T21:00:00+06:00,,-999.0
2023-04-26T22:00:00+06:00,,-999.0
2023-04-26T23:00:00+06:00,,-999.0
2023-04-27T00:00:00+06:00,,-999.0
2023-04-27T01:00:00+06:00,,-999.0
2023-04-27T02:00:00+06:00,,-999.0
2023-04-27T03:00:00+06:00,,-999.0
2023-04-27T04:00:00+06:00,,84.0
2023-04-27T05:00:00+06:00,,154.0
2023-04-27T06:00:00+06:00,,227.0
2023-04-27T07:00:00+06:00,,151.0
2023-04-27T08:00:00+06:00,,146.0
2023-04-27T09:00:00+06:00,,108.0
2023-04-27T10:00:00+06:00,,69.0
2023-04-27T11:00:00+06:00,,64.0
2023-04-27T12:00:00+06:00,,73.0
2023-04-27T13:00:00+06:00,,76.0
2023-04-27T14:00:00+06:00,,91.0
2023-04-27T15:00:00+06:00,,72.0
2023-04-27T16:00:00+06:00,,73.0
2023-04-27T17:00:00+06:00,,73.0
2023-04-27T18:00:00+06:00,,81.0
2023-04-27T19:00:00+06:00,,26.0
2023-04-27T20:00:00+06:00,,33.0
2023-04-27T21:00:00+06:00,,38.0
2023-04-27T22:00:00+06:00,,41.0
2023-04-27T23:00:00+06:00,,41.0
2023-04-28T00:00:00+06:00,,45.0
2023-04-28T01:00:00+06:00,,58.0
2023-04-28T02:00:00+06:00,,45.0
2023-04-28T03:00:00+06:00,,44.0
2023-04-28T04:00:00+06:00,,35.0
2023-04-28T05:00:00+06:00,,27.0
2023-04-28T06:00:00+06:00,,35.0
2023-04-28T07:00:00+06:00,,47.0
2023-04-28T08:00:00+06:00,,65.0
2023-04-28T09:00:00+06:00,,42.0
2023-04-28T10:00:00+06:00,,39.0
2023-04-28T11:00:00+06:00,,50.0
2023-04-28T12:00:00+06:00,,60.0
2023-04-28T13:00:00+06:00,,57.0
2023-04-28T14:00:00+06:00,,55.0
2023-04-28T15:00:00+06:00,,48.0
2023-04-28T16:00:00+06:00,,47.0
2023-04-28T17:00:00+06:00,,54.0
2023-04-28T18:00:00+06:00,,58.0
2023-04-28T19:00:00+06:00,,56.0
2023-04-28T20:00:00+06:00,,59.0
2023-04-28T21:00:00+06:00,,67.0
2023-04-28T22:00:00+06:00,,71.0
2023-04-28T23:00:00+06:00,,56.0
2023-04-29T00:00:00+06:00,,50.0
2023-04-29T01:00:00+06:00,,60.0
2023-04-29T02:00:00+06:00,,47.0
2023-04-29T03:00:00+06:00,,45.0
2023-04-29T04:00:00+06:00,,48.0
2023-04-29T05:00:00+06:00,,66.0
2023-04-29T06:00:00+06:00,,50.0
2023-04-29T07:00:00+06:00,,205.0
2023-04-29T08:00:00+06:00,,251.0
2023-04-29T09:00:00+06:00,,154.0
2023-04-29T10:00:00+06:00,,103.0
2023-04-29T11:00:00+06:00,,119.0
2023-04-29T12:00:00+06:00,,92.0
2023-04-29T13:00:00+06:00,,80.0
2023-04-29T14:00:00+06:00,,70.0
2023-04-29T15:00:00+06:00,,-999.0
2023-04-29T16:00:00+06:00,,55.0
2023-04-29T17:00:00+06:00,,67.0
2023-04-29T18:00:00+06:00,,74.0
2023-04-29T19:00:00+06:00,,55.0
2023-04-29T20:00:00+06:00,,55.0
2023-04-29T21:00:00+06:00,,50.0
2023-04-29T22:00:00+06:00,,38.0
2023-04-29T23:00:00+06:00,,52.0
2023-04-30T00:00:00+06:00,,55.0
2023-04-30T01:00:00+06:00,,53.0
2023-04-30T02:00:00+06:00,,41.0
2023-04-30T03:00:00+06:00,,35.0
2023-04-30T04:00:00+06:00,,46.0
2023-04-30T05:00:00+06:00,,68.0
2023-04-30T06:00:00+06:00,,67.0
2023-04-30T07:00:00+06:00,,85.0
2023-04-30T08:00:00+06:00,,68.0
2023-04-30T09:00:00+06:00,,71.0
2023-04-30T10:00:00+06:00,,68.0
2023-04-30T11:00:00+06:00,,67.0
2023-04-30T12:00:00+06:00,,54.0
2023-04-30T13:00:00+06:00,,52.0
2023-04-30T14:00:00+06:00,,54.0
2023-04-30T15:00:00+06:00,,53.0
2023-04-30T16:00:00+06:00,,60.0
2023-04-30T17:00:00+06:00,,67.0
2023-04-30T18:00:00+06:00,,91.0
2023-04-30T19:00:00+06:00,,91.0
2023-04-30T20:00:00+06:00,,107.0
2023-04-30T21:00:00+06:00,,87.0
2023-04-30T22:00:00+06:00,,92.0
2023-04-30T23:00:00+06:00,,66.0
2023-05-01T00:00:00+06:00,,48.0
2023-05-01T01:00:00+06:00,,45.0
2023-05-01T02:00:00+06:00,,48.0
2023-05-01T03:00:00+06:00,,50.0
2023-05-01T04:00:00+06:00,,66.0
2023-05-01T05:00:00+06:00,,68.0
2023-05-01T06:00:00+06:00,,-999.0
2023-05-01T07:00:00+06:00,,33.0
2023-05-01T08:00:00+06:00,,30.0
2023-05-01T09:00:00+06:00,,42.0
2023-05-01T10:00:00+06:00,,38.0
2023-05-01T11:00:00+06:00,,41.0
2023-05-01T12:00:00+06:00,,43.0
2023-05-01T13:00:00+06:00,,49.0
2023-05-01T14:00:00+06:00,,53.0
2023-05-01T15:00:00+06:00,,48.0
2023-05-01T16:00:00+06:00,,50.0
2023-05-01T17:00:00+06:00,,48.0
2023-05-01T18:00:00+06:00,,45.0
2023-05-01T19:00:00+06:00,,-999.0
2023-05-01T20:00:00+06:00,,57.0
2023-05-01T21:00:00+06:00,,68.0
2023-05-01T22:00:00+06:00,,54.0
2023-05-01T23:00:00+06:00,,48.0
2023-05-02T00:00:00+06:00,,53.0
2023-05-02T01:00:00+06:00,,69.0
2023-05-02T02:00:00+06:00,,90.0
2023-05-02T03:00:00+06:00,,81.0
2023-05-02T04:00:00+06:00,,84.0
2023-05-02T05:00:00+06:00,,55.0
2023-05-02T06:00:00+06:00,,59.0
2023-05-02T07:00:00+06:00,,88.0
2023-05-02T08:00:00+06:00,,80.0
2023-05-02T09:00:00+06:00,,162.0
2023-05-02T10:00:00+06:00,,90.0
2023-05-02T11:00:00+06:00,,-999.0
2023-05-02T12:00:00+06:00,,67.0
2023-05-02T13:00:00+06:00,,55.0
2023-05-02T14:00:00+06:00,,53.0
2023-05-02T15:00:00+06:00,,40.0
2023-05-02T16:00:00+06:00,,40.0
2023-05-02T17:00:00+06:00,,43.0
2023-05-02T18:00:00+06:00,,42.0
2023-05-02T19:00:00+06:00,,45.0
2023-05-02T20:00:00+06:00,,64.0
2023-05-02T21:00:00+06:00,,68.0
2023-05-02T22:00:00+06:00,,75.0
2023-05-02T23:00:00+06:00,,76.0
2023-05-03T00:00:00+06:00,,120.0
2023-05-03T01:00:00+06:00,,93.0
2023-05-03T02:00:00+06:00,,62.0
2023-05-03T03:00:00+06:00,,75.0
2023-05-03T04:00:00+06:00,,58.0
2023-05-03T05:00:00+06:00,,110.0
2023-05-03T06:00:00+06:00,,239.0
2023-05-03T07:00:00+06:00,,100.0
2023-05-03T08:00:00+06:00,,70.0
2023-05-03T09:00:00+06:00,,70.0
2023-05-03T10:00:00+06:00,,59.0
2023-05-03T11:00:00+06:00,,45.0
2023-05-03T12:00:00+06:00,,52.0
2023-05-03T13:00:00+06:00,,55.0
2023-05-03T14:00:00+06:00,,46.0
2023-05-03T15:00:00+06:00,,49.0
2023-05-03T16:00:00+06:00,,55.0
2023-05-03T17:00:00+06:00,,65.0
2023-05-03T18:00:00+06:00,,60.0
2023-05-03T19:00:00+06:00,,70.0
2023-05-03T20:00:00+06:00,,32.0
2023-05-03T21:00:00+06:00,,40.0
2023-05-03T22:00:00+06:00,,36.0
2023-05-03T23:00:00+06:00,,44.0
2023-05-04T00:00:00+06:00,,50.0
2023-05-04T01:00:00+06:00,,50.0
2023-05-04T02:00:00+06:00,,-999.0
2023-05-04T03:00:00+06:00,,43.0
2023-05-04T04:00:00+06:00,,25.0
2023-05-04T05:00:00+06:00,,29.0
2023-05-04T06:00:00+06:00,,27.0
2023-05-04T07:00:00+06:00,,74.0
2023-05-04T08:00:00+06:00,,111.0
2023-05-04T09:00:00+06:00,,144.0
2023-05-04T10:00:00+06:00,,135.0
2023-05-04T11:00:00+06:00,,153.0
2023-05-04T12:00:00+06:00,,100.0
2023-05-04T13:00:00+06:00,,38.0
2023-05-04T14:00:00+06:00,,38.0
2023-05-04T15:00:00+06:00,,33.0
2023-05-04T16:00:00+06:00,,37.0
2023-05-04T17:00:00+06:00,,36.0
2023-05-04T18:00:00+06:00,,30.0
2023-05-04T19:00:00+06:00,,33.0
2023-05-04T20:00:00+06:00,,43.0
2023-05-04T21:00:00+06:00,,44.0
2023-05-04T22:00:00+06:00,,45.0
2023-05-04T23:00:00+06:00,,54.0
2023-05-05T00:00:00+06:00,,53.0
2023-05-05T01:00:00+06:00,,50.0
2023-05-05T02:00:00+06:00,,36.0
2023-05-05T03:00:00+06:00,,15.0
2023-05-05T04:00:00+06:00,,14.0
2023-05-05T05:00:00+06:00,,51.0
2023-05-05T06:00:00+06:00,,115.0
2023-05-05T07:00:00+06:00,,113.0
2023-05-05T08:00:00+06:00,,167.0
